Date,DayOfWeek,Delay,TotalFlights,PorcentageDelay
2008-01-01,2,8127,18597,0.43700596870462977
2008-01-02,3,10285,20428,0.5034756216957118
2008-01-03,4,8372,20449,0.4094087730451367
2008-01-04,5,6482,20094,0.3225838558773763
2008-01-05,6,6597,17535,0.37621899059024805
2008-01-06,7,7581,19169,0.3954822891126298
2008-01-07,1,5375,19698,0.2728703421667174
2008-01-08,2,5276,19104,0.27617252931323283
2008-01-09,3,3636,19424,0.18719110378912684
2008-01-10,4,4754,19930,0.23853487205218263
2008-01-11,5,4954,19790,0.2503284487114704
2008-01-12,6,1953,16298,0.11983065406798381
2008-01-13,7,4116,18549,0.22189875464984635
2008-01-14,1,3890,19250,0.20207792207792208
2008-01-15,2,3192,19167,0.16653623415244953
2008-01-16,3,2928,19176,0.15269086357947434
2008-01-17,4,7630,19362,0.3940708604483008
2008-01-18,5,6999,20097,0.348260934467831
2008-01-19,6,4311,15351,0.280828610513973
2008-01-20,7,4097,18387,0.22282047098493502
2008-01-21,1,7847,19606,0.40023462205447313
2008-01-22,2,7212,18696,0.38575096277278564
2008-01-23,3,5469,19210,0.2846954711087975
2008-01-24,4,5743,19899,0.28860746771194534
2008-01-25,5,6515,19761,0.3296897930266687
2008-01-26,6,4052,15814,0.25622865815100543
2008-01-27,7,6983,18178,0.38414567059082405
2008-01-28,1,5459,19445,0.2807405502699923
2008-01-29,2,4858,18529,0.26218360408009067
2008-01-30,3,4437,19041,0.23302347565779108
2008-01-31,4,7847,19096,0.4109237536656892
2008-02-01,5,9093,18965,0.47946216715001316
2008-02-02,6,3791,15885,0.23865281712307207
2008-02-03,7,5486,18075,0.3035131396957123
2008-02-04,1,7685,18281,0.4203818171872436
2008-02-05,2,6563,18322,0.3582032529199869
2008-02-06,3,6514,17514,0.3719310266072856
2008-02-07,4,5924,19836,0.29864892115345837
2008-02-08,5,6341,19940,0.31800401203610834
2008-02-09,6,2842,15918,0.1785400175901495
2008-02-10,7,6107,18438,0.3312181364573164
2008-02-11,1,5545,19489,0.28451947252296167
2008-02-12,2,7612,17745,0.4289659058889828
2008-02-13,3,7995,18592,0.4300236660929432
2008-02-14,4,6927,20326,0.34079504083439927
2008-02-15,5,7172,20556,0.34890056431212296
2008-02-16,6,4497,16567,0.2714432305185006
2008-02-17,7,6381,17851,0.3574589658842642
2008-02-18,1,8052,19993,0.40274095933576753
2008-02-19,2,5696,20117,0.2831436098821892
2008-02-20,3,5555,20338,0.2731340348116826
2008-02-21,4,7723,19887,0.3883441444159501
2008-02-22,5,10159,18554,0.5475369192626927
2008-02-23,6,5366,16673,0.3218377016733641
2008-02-24,7,6222,19182,0.3243665936815765
2008-02-25,1,5689,20052,0.2837123478954718
2008-02-26,2,7987,19455,0.41053713698278077
2008-02-27,3,4847,20088,0.2412883313420948
2008-02-28,4,4039,20162,0.2003273484773336
2008-02-29,5,6586,20124,0.3272709202941761
2008-03-01,6,3840,16771,0.22896666865422455
2008-03-02,7,5382,19095,0.28185388845247444
2008-03-03,1,6368,19888,0.32019308125502816
2008-03-04,2,6359,19240,0.3305093555093555
2008-03-05,3,5611,20044,0.2799341448812612
2008-03-06,4,4870,19704,0.24715793747462445
2008-03-07,5,9349,19553,0.4781363473635759
2008-03-08,6,7491,15670,0.4780472239948947
2008-03-09,7,7252,18915,0.38339941845096487
2008-03-10,1,5745,20194,0.2844904427057542
2008-03-11,2,3690,19882,0.18559501056231767
2008-03-12,3,4342,20247,0.21445152368252088
2008-03-13,4,4673,20564,0.22724178175452248
2008-03-14,5,6847,20591,0.33252391821669663
2008-03-15,6,6868,17037,0.4031226154839467
2008-03-16,7,6742,19356,0.3483157677206034
2008-03-17,1,6407,20356,0.31474749459618784
2008-03-18,2,6491,18213,0.35639378465930927
2008-03-19,3,9084,19886,0.45680378155486273
2008-03-20,4,7305,20408,0.35794786358290864
2008-03-21,5,6991,19353,0.3612359840851548
2008-03-22,6,4824,17121,0.28175924303486943
2008-03-23,7,4051,19309,0.2097985395411466
2008-03-24,1,4623,20478,0.22575446820978612
2008-03-25,2,5580,19971,0.2794051374493015
2008-03-26,3,4105,20013,0.20511667416179483
2008-03-27,4,6118,19997,0.3059458918837826
2008-03-28,5,7105,20534,0.34601149313333984
2008-03-29,6,4422,17168,0.2575722273998136
2008-03-30,7,8036,19222,0.4180626365622724
2008-03-31,1,9766,19563,0.49920768798241577
2008-04-01,2,7314,19778,0.36980483365355443
2008-04-02,3,4541,20324,0.22343042708128322
2008-04-03,4,6480,20414,0.31742921524444007
2008-04-04,5,9830,19974,0.4921397817162311
2008-04-05,6,4818,16939,0.2844323749926206
2008-04-06,7,6665,19391,0.34371615698004226
2008-04-07,1,5196,20372,0.25505595915963086
2008-04-08,2,4280,19366,0.2210058866053909
2008-04-09,3,5185,19156,0.27067237419085405
2008-04-10,4,8217,19248,0.42690149625935164
2008-04-11,5,7673,19735,0.3888016214846719
2008-04-12,6,4660,16749,0.27822556570541523
2008-04-13,7,4864,19442,0.25018002263141653
2008-04-14,1,3844,20450,0.18797066014669928
2008-04-15,2,3077,19916,0.15449889536051417
2008-04-16,3,3370,20343,0.1656589490242344
2008-04-17,4,3633,20507,0.17715901887160482
2008-04-18,5,4654,20565,0.2263068319961099
2008-04-19,6,3018,16902,0.17855875044373448
2008-04-20,7,5051,19404,0.26030715316429603
2008-04-21,1,4004,20477,0.19553645553547883
2008-04-22,2,3082,19981,0.15424653420749712
2008-04-23,3,3979,20320,0.19581692913385826
2008-04-24,4,4394,20524,0.21409082050282596
2008-04-25,5,5594,19968,0.28014823717948717
2008-04-26,6,3552,16731,0.21230051999282767
2008-04-27,7,4181,19406,0.2154488302586829
2008-04-28,1,6438,20066,0.32084122396092896
2008-04-29,2,3249,19964,0.1627429372871168
2008-04-30,3,3130,20311,0.15410368765693466
2008-05-01,4,4512,20358,0.22163277335691128
2008-05-02,5,8478,19809,0.4279872785097683
2008-05-03,6,3568,16707,0.21356317711139045
2008-05-04,7,3561,19241,0.18507354087625383
2008-05-05,1,4351,20267,0.21468396901366754
2008-05-06,2,3613,19649,0.1838770420886559
2008-05-07,3,5528,19961,0.27694003306447573
2008-05-08,4,4436,20359,0.21788889434648068
2008-05-09,5,5712,20215,0.28256245362354687
2008-05-10,6,3147,16801,0.18731027915005058
2008-05-11,7,5510,19058,0.28911743100010495
2008-05-12,1,5870,20022,0.2931775047447807
2008-05-13,2,4057,19572,0.2072859186593092
2008-05-14,3,5263,19982,0.2633870483435092
2008-05-15,4,5558,20328,0.2734159779614325
2008-05-16,5,6646,20356,0.3264885046178031
2008-05-17,6,2445,16877,0.14487171890738876
2008-05-18,7,4265,19257,0.22147790413875473
2008-05-19,1,4565,20276,0.22514302623791674
2008-05-20,2,5223,19678,0.265423315377579
2008-05-21,3,4434,20157,0.21997321029915165
2008-05-22,4,7421,20393,0.3638993772372873
2008-05-23,5,6684,20505,0.32596927578639356
2008-05-24,6,3235,16645,0.19435265845599278
2008-05-25,7,1735,16392,0.10584431429965838
2008-05-26,1,3328,19265,0.17274850765637165
2008-05-27,2,5438,19491,0.2790005643630393
2008-05-28,3,4045,20172,0.20052548086456473
2008-05-29,4,3625,20396,0.17773092763286918
2008-05-30,5,5153,20212,0.2549475559073818
2008-05-31,6,4515,16809,0.2686061038729252
2008-06-01,7,4866,19379,0.2510965478094845
2008-06-02,1,3352,20463,0.16380784831158676
2008-06-03,2,5783,19692,0.2936725573837091
2008-06-04,3,7984,19860,0.4020140986908359
2008-06-05,4,7890,20338,0.38794375061461306
2008-06-06,5,7174,20350,0.35253071253071255
2008-06-07,6,4929,17556,0.28075871496924126
2008-06-08,7,6744,18887,0.35707100121776886
2008-06-09,1,7776,20215,0.3846648528320554
2008-06-10,2,6724,19944,0.33714400320898513
2008-06-11,3,6479,20421,0.3172714362665883
2008-06-12,4,6584,20673,0.3184830455183089
2008-06-13,5,8105,20485,0.3956553575787161
2008-06-14,6,5175,17659,0.29305170168186195
2008-06-15,7,7147,19518,0.36617481299313454
2008-06-16,1,7502,20118,0.37289989064519335
2008-06-17,2,5969,20270,0.29447459299457324
2008-06-18,3,5220,20519,0.2543983624932989
2008-06-19,4,7111,20504,0.346810378462739
2008-06-20,5,6195,20821,0.2975361413957063
2008-06-21,6,5251,17970,0.2922092376182526
2008-06-22,7,7350,19512,0.37669126691266913
2008-06-23,1,7612,20508,0.3711722254729862
2008-06-24,2,5438,20442,0.26602093728597986
2008-06-25,3,6059,20521,0.29525851566687783
2008-06-26,4,7973,20439,0.3900875776701404
2008-06-27,5,8157,20597,0.3960285478467738
2008-06-28,6,5853,17737,0.3299881603427863
2008-06-29,7,7215,19380,0.37229102167182665
2008-06-30,1,5413,20680,0.2617504835589942
2008-07-01,2,3987,20597,0.1935718793999126
2008-07-02,3,5010,20520,0.24415204678362573
2008-07-03,4,4382,20699,0.21170104835982415
2008-07-04,5,1888,15899,0.11874960689351531
2008-07-05,6,3223,17473,0.18445601785612087
2008-07-06,7,6437,19721,0.3264033264033264
2008-07-07,1,8123,20719,0.39205560113905114
2008-07-08,2,7578,19905,0.38070836473247927
2008-07-09,3,6264,19183,0.326539123181984
2008-07-10,4,5944,20400,0.29137254901960785
2008-07-11,5,5622,20747,0.27097893671374174
2008-07-12,6,5482,17978,0.30492824563355214
2008-07-13,7,6974,19145,0.364272656045965
2008-07-14,1,6317,20702,0.3051396000386436
2008-07-15,2,4424,20539,0.21539510200107112
2008-07-16,3,4031,20752,0.19424633770239014
2008-07-17,4,4991,20881,0.23902111967817632
2008-07-18,5,5411,20884,0.2590978739705037
2008-07-19,6,4633,18034,0.2569036264833093
2008-07-20,7,5782,19751,0.29274467115589087
2008-07-21,1,5597,20639,0.2711856194583071
2008-07-22,2,5689,20285,0.28045353709637666
2008-07-23,3,6419,19533,0.32862335534736087
2008-07-24,4,7525,20311,0.370488897641672
2008-07-25,5,5829,20796,0.2802942873629544
2008-07-26,6,4134,17990,0.22979433018343523
2008-07-27,7,6271,19105,0.3282386809735671
2008-07-28,1,5382,20626,0.26093280325802387
2008-07-29,2,4547,20452,0.22232544494425974
2008-07-30,3,5325,20647,0.25790671768295637
2008-07-31,4,6953,20510,0.3390053632374451
2008-08-01,5,6472,20704,0.312596599690881
2008-08-02,6,5811,17493,0.33219001886468874
2008-08-03,7,5493,19669,0.27927195078550004
2008-08-04,1,6263,19893,0.3148343638465792
2008-08-05,2,6167,19833,0.31094640246054556
2008-08-06,3,5138,20524,0.2503410641200546
2008-08-07,4,6945,20464,0.33937646598905397
2008-08-08,5,5733,20603,0.2782604475076445
2008-08-09,6,4407,17987,0.2450102852059821
2008-08-10,7,5727,19169,0.2987636287756273
2008-08-11,1,6128,20037,0.3058342067175725
2008-08-12,2,4757,20425,0.23290085679314565
2008-08-13,3,4081,20620,0.19791464597478176
2008-08-14,4,5304,20364,0.26045963464938127
2008-08-15,5,7577,20115,0.37668406661695253
2008-08-16,6,5011,17669,0.2836040522949799
2008-08-17,7,4259,19666,0.21656666327672125
2008-08-18,1,4451,20650,0.215544794188862
2008-08-19,2,3198,19348,0.1652884019020054
2008-08-20,3,5146,19941,0.258061280778296
2008-08-21,4,4976,20156,0.2468743798372693
2008-08-22,5,4471,20227,0.22104118257774263
2008-08-23,6,2921,16434,0.17774126810271387
2008-08-24,7,3842,19098,0.20117289768562152
2008-08-25,1,4505,19957,0.22573533096156737
2008-08-26,2,4681,19385,0.24147536755223112
2008-08-27,3,3293,19802,0.16629633370366628
2008-08-28,4,3940,20145,0.1955820302804666
2008-08-29,5,4692,20186,0.23243832359060734
2008-08-30,6,2278,15407,0.14785487116245863
2008-08-31,7,1429,14779,0.09669125109953312
2008-09-01,1,2142,18451,0.11609126876592055
2008-09-02,2,2440,18879,0.1292441336935219
2008-09-03,3,1944,18421,0.1055317300906574
2008-09-04,4,2795,18619,0.15011547344110854
2008-09-05,5,2629,18777,0.14001171646162858
2008-09-06,6,2068,14253,0.14509226127832736
2008-09-07,7,2559,17744,0.14421776375112713
2008-09-08,1,4122,18647,0.2210543250925082
2008-09-09,2,4066,17499,0.23235613463626492
2008-09-10,3,2340,18348,0.12753433616742968
2008-09-11,4,3516,18787,0.1871506893064353
2008-09-12,5,5321,17787,0.2991510653848316
2008-09-13,6,2756,13229,0.20833018368735354
2008-09-14,7,4227,16136,0.26196083292017847
2008-09-15,1,3729,18126,0.20572658060244953
2008-09-16,2,2289,17784,0.12871120107962214
2008-09-17,3,2200,18164,0.12111869632239594
2008-09-18,4,2718,18647,0.14576071217890277
2008-09-19,5,2981,18848,0.1581600169779287
2008-09-20,6,1513,14470,0.1045611610228058
2008-09-21,7,3256,17604,0.1849579640990684
2008-09-22,1,2916,18713,0.1558274995992091
2008-09-23,2,1900,17962,0.10577886649593586
2008-09-24,3,2661,18342,0.14507687275106312
2008-09-25,4,3826,18737,0.20419490846987245
2008-09-26,5,4576,18584,0.24623331898407233
2008-09-27,6,2143,14454,0.14826345648263456
2008-09-28,7,3258,17646,0.18463107786467187
2008-09-29,1,2762,18710,0.1476215927311598
2008-09-30,2,2055,17908,0.11475318293500111
2008-10-01,3,1949,18172,0.10725291657495048
2008-10-02,4,2422,18678,0.1296712710140272
2008-10-03,5,3064,18762,0.1633088156912909
2008-10-04,6,1515,14468,0.10471385125794858
2008-10-05,7,3175,17583,0.18057214354774498
2008-10-06,1,2466,18631,0.13236004508614674
2008-10-07,2,2564,17917,0.1431043143383379
2008-10-08,3,3440,18246,0.18853447330921846
2008-10-09,4,3512,18716,0.1876469331053644
2008-10-10,5,3699,18795,0.1968076616121309
2008-10-11,6,2365,14496,0.16314845474613687
2008-10-12,7,3287,17632,0.18642241379310345
2008-10-13,1,2961,18705,0.1582999198075381
2008-10-14,2,2083,17986,0.11581229845435338
2008-10-15,3,3488,18175,0.19191196698762036
2008-10-16,4,3896,18730,0.20800854244527495
2008-10-17,5,3816,18778,0.2032165299818937
2008-10-18,6,1555,14479,0.10739691967677326
2008-10-19,7,2932,17648,0.16613780598368086
2008-10-20,1,2747,18696,0.14692982456140352
2008-10-21,2,2174,17927,0.12126959335081162
2008-10-22,3,3373,18168,0.18565609863496257
2008-10-23,4,3212,18769,0.1711332516383398
2008-10-24,5,5289,18771,0.28176442384529327
2008-10-25,6,2478,14311,0.1731535182726574
2008-10-26,7,3700,17573,0.210550275991578
2008-10-27,1,4454,18589,0.23960406692129754
2008-10-28,2,3455,17597,0.1963402852758993
2008-10-29,3,2230,18154,0.12283794205133855
2008-10-30,4,2833,18662,0.1518058085950059
2008-10-31,5,2395,18257,0.1311825601139289
2008-11-01,6,1792,14513,0.12347550471990629
2008-11-02,7,3098,17303,0.1790440963994683
2008-11-03,1,2525,18445,0.13689346706424504
2008-11-04,2,2044,17759,0.1150965707528577
2008-11-05,3,2496,18143,0.13757371989196934
2008-11-06,4,3961,18319,0.21622359299088378
2008-11-07,5,4582,18544,0.24708800690250216
2008-11-08,6,2068,14773,0.13998510796723754
2008-11-09,7,3324,17317,0.19195010683143732
2008-11-10,1,2706,18288,0.14796587926509186
2008-11-11,2,3429,17693,0.1938054597863562
2008-11-12,3,3620,18059,0.20045406722409878
2008-11-13,4,5093,18362,0.2773662999673238
2008-11-14,5,6078,18235,0.33331505346860435
2008-11-15,6,2707,14664,0.18460174577195854
2008-11-16,7,3272,17297,0.18916575128635024
2008-11-17,1,2677,18448,0.1451105810928014
2008-11-18,2,2042,17760,0.11497747747747748
2008-11-19,3,2405,18074,0.13306406993471284
2008-11-20,4,3848,18581,0.20709326731607555
2008-11-21,5,4610,18659,0.2470657591510799
2008-11-22,6,2670,14944,0.17866702355460384
2008-11-23,7,1965,17437,0.11269140333773012
2008-11-24,1,2791,18252,0.15291474906859523
2008-11-25,2,3183,18517,0.17189609547982934
2008-11-26,3,2856,18795,0.15195530726256984
2008-11-27,4,1190,11961,0.09949000919655547
2008-11-28,5,1412,14273,0.09892804596090521
2008-11-29,6,4092,16540,0.24740024183796855
2008-11-30,7,10214,18018,0.5668775668775669
2008-12-01,1,10445,18336,0.5696444153577661
2008-12-02,2,4556,18005,0.2530408219938906
2008-12-03,3,3814,17720,0.2152370203160271
2008-12-04,4,4283,18139,0.2361210651083301
2008-12-05,5,3377,18201,0.18553925608483052
2008-12-06,6,2537,14359,0.17668361306497668
2008-12-07,7,3999,16956,0.23584571832979476
2008-12-08,1,3321,17977,0.18473605162151638
2008-12-09,2,4448,16995,0.26172403648131803
2008-12-10,3,5622,17194,0.326974525997441
2008-12-11,4,5643,17656,0.3196080652469416
2008-12-12,5,4873,18108,0.2691075767616523
2008-12-13,6,2856,14304,0.19966442953020133
2008-12-14,7,5061,16883,0.29976899840075816
2008-12-15,1,7620,17664,0.4313858695652174
2008-12-16,2,7822,16476,0.4747511531925225
2008-12-17,3,9038,17227,0.5246415510535787
2008-12-18,4,8806,17591,0.5005968961400716
2008-12-19,5,9869,16608,0.5942316955684007
2008-12-20,6,9079,15366,0.5908499284133802
2008-12-21,7,9883,15866,0.6229043237110803
2008-12-22,1,10084,17665,0.5708463062553071
2008-12-23,2,10332,17650,0.5853824362606233
2008-12-24,3,7977,14905,0.535189533713519
2008-12-25,4,4356,14985,0.2906906906906907
2008-12-26,5,8386,17220,0.4869918699186992
2008-12-27,6,9159,15685,0.5839336946126873
2008-12-28,7,6356,17388,0.36553945249597425
2008-12-29,1,4148,18372,0.22577835837143478
2008-12-30,2,4962,18128,0.27372021182700795
2008-12-31,3,4712,15118,0.3116814393438285
